State,Region,State Abbreviation,GiniCoeff,PovRate1,NPov000s,Rovrate2,PovRate3,Densitym2,V_Relig,pHigh,pBatDeg,pAdDeg,Pop2010,count_of_canceled,count_of_failed,count_of_successful,count_of_Grand Total,successful rate,January,February,March,April,May,June,July,August,September,October,November,December,total_count,Art,Comics,Crafts,Dance,Design,Fashion,Film & Video,Food,Games,Journalism,Music,Photography,Publishing,Technology,Theater, pledged_amount_of_canceled, pledged_amount_of_failed, pledged_amount_of_successful, pledged_amount_of_suspended, pledged_amount_of_Grand Total,raising_rate,average_of_goal_canceled,average_of_goal_failed,average_of_goal_successful,average_of_goal_suspended,average_of_goal_Grand Total, average_pledged_amount_of_canceled,  average_pledged_amount_of_failed,  average_pledged_amount_of_successful,  average_pledged_amount_of_suspended,  average_pledged_amount_of_Grand Total
New Mexico,West,NM,0.464,0.206,347,0.196,0.161,17.16,41,0.828,0.253,0.104,2030790,9,28,23,60,0.383333333,0,0,0,23,0,0,0,0,0,0,1,36,60,8,2,0,0,0,1,28,1,4,1,5,1,6,0,3,11227,11776,154569,0,177572,0.87045818,14013.88889,5491.071429,5608.478261,0,6814.5,1247.444444,420.5714286,6720.391304,0,2959.533333
New York,Northeast,NY,0.499,0.159,2760,0.159,0.181,415.3,32,0.847,0.324,0.14,19746813,159,940,1202,2301,0.522381573,1,1,2,917,4,0,4,3,2,5,2,1360,2301,192,30,11,66,43,60,804,51,22,28,532,83,119,46,214,64340.04,721356.52,7612013,0,8397709.56,0.906439184,13026.03774,8594.754255,5077.200241,0,7063.452277,404.6543396,767.4005532,6332.789517,0,3649.591291
North Carolina,South,NC,0.464,0.172,1663,0.17,0.142,200.6,50,0.843,0.265,0.088,9479467,14,88,50,152,0.328947368,0,0,0,40,0,0,0,0,0,0,0,112,152,12,3,0,0,1,0,55,9,3,4,36,6,16,0,7,8444,46554,331855,0,386853,0.857832303,6432.642857,8963.159091,6030.8822,0,7765.520461,603.1428571,529.0227273,6637.1,0,2545.085526
North Dakota,Midwest,ND,0.433,0.111,79,0.11,0.092,9.916,44,0.901,0.258,0.067,653642,2,1,1,4,0.25,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,507,600,2710,0,3817,0.709981661,1250,19000,2500,0,6000,253.5,600,2710,0,954.25
Ohio,Midwest,OH,0.452,0.158,1778,0.135,0.132,282.5,39,0.876,0.241,0.088,11663946,22,104,53,179,0.296089385,0,0,0,52,0,0,0,0,1,1,0,125,179,9,9,2,2,3,5,55,2,6,4,51,6,16,1,8,9219,41045,268093.84,0,318357.84,0.842114772,12164.04545,6728.826923,4357.264151,0,6694.648045,419.0454545,394.6634615,5058.37434,0,1778.535419
Oklahoma,South,OK,0.454,0.166,623,0.13,0.134,55.22,48,0.856,0.227,0.074,3725797,7,23,10,40,0.25,0,0,0,11,0,0,0,0,1,0,0,28,40,1,1,0,0,3,0,15,1,1,0,11,0,3,2,2,975,18566,55643,0,75184,0.740090977,4428.571429,5621.130435,4955,0,5245.9,139.2857143,807.2173913,5564.3,0,1879.6
Oregon,West,OR,0.449,0.164,637,0.0711,0.103,40.33,30,0.891,0.292,0.104,3865861,37,136,153,326,0.469325153,0,0,0,122,2,1,0,0,0,2,1,198,326,20,13,6,0,8,6,98,11,5,11,82,18,31,8,9,17108,87138.34,695667,0,799913.34,0.869677958,28334.91892,7503.727941,3749.566078,0,8106.081626,462.3783784,640.7230882,4546.843137,0,2453.721902
Pennsylvania,Northeast,PA,0.461,0.136,1679,0.112,0.126,285.3,40,0.879,0.264,0.102,12737230,30,159,129,318,0.405660377,0,0,0,99,0,0,0,0,1,0,1,217,318,22,10,0,4,5,5,89,7,11,3,102,16,20,9,15,5889,80948,500204,0,587041,0.852076771,7611,9757.641509,3160.354961,0,6878.870409,196.3,509.1069182,3877.550388,0,1846.040881
Rhode Island,Northeast,RI,0.467,0.148,149,0.132,0.136,1006,32,0.847,0.305,0.117,1064277,1,15,19,35,0.542857143,0,0,0,8,0,0,0,0,0,0,1,26,35,3,3,0,0,5,1,4,4,0,1,7,0,2,2,3,351,12007,100476,0,112834,0.890476275,10000,9220,4263.473684,0,6551.6,351,800.4666667,5288.210526,0,3223.828571
South Carolina,South,SC,0.461,0.179,838,0.138,0.158,157.1,54,0.836,0.243,0.084,4609176,7,28,20,55,0.363636364,0,0,0,15,0,0,0,0,0,1,0,39,55,2,2,1,0,2,1,9,2,0,0,29,2,5,0,0,237,5826,119795,0,125858,0.951826662,16087.28571,5416.964286,5290,0,6728.836364,33.85714286,208.0714286,5989.75,0,2288.327273
South Dakota,Midwest,SD,0.442,0.141,115,0.143,0.106,10.86,45,0.899,0.251,0.073,820920,0,6,3,9,0.333333333,0,0,0,2,0,0,0,0,0,0,0,7,9,0,0,0,0,0,1,4,0,0,0,2,1,0,1,0,0,986,15008,0,15994,0.938351882,0,5420.833333,4666.666667,0,5169.444444,0,164.3333333,5002.666667,0,1777.111111
Tennessee,South,TN,0.468,0.182,1165,0.167,0.155,156.6,52,0.831,0.23,0.079,6362421,12,106,100,218,0.458715596,0,0,0,59,0,0,0,0,0,1,1,157,218,5,4,0,1,0,3,42,3,2,2,139,4,7,3,3,9550,58140,990100,0,1057790,0.936008092,27166.66667,10860.89623,6542.95,0,9777.752294,795.8333333,548.490566,9901,0,4852.247706
Texas,South,TX,0.469,0.172,4519,0.174,0.164,98.07,47,0.799,0.255,0.085,25042738,47,244,161,452,0.35619469,0,1,2,141,0,0,0,0,1,1,0,306,452,26,12,0,4,8,6,147,8,17,4,152,13,32,12,11,38391,137533,1019406,0,1195330,0.852823906,9872.340426,8543.606557,5190.850932,0,7487.537611,816.8297872,563.6598361,6331.714286,0,2644.535398
Utah,West,UT,0.419,0.118,341,0.098,0.116,34.3,57,0.904,0.285,0.091,2813835,12,39,30,81,0.37037037,0,0,0,13,0,0,0,0,0,1,0,67,81,2,2,0,0,1,1,42,1,2,0,12,2,9,5,2,16418,65029,320398,0,401845,0.797317374,9016.666667,14852.79487,9464.033333,0,11992.34568,1368.166667,1667.410256,10679.93333,0,4961.049383
Vermont,Northeast,VT,0.444,0.122,72,0.097,0.134,67.73,22,0.91,0.331,0.133,628294,1,13,17,31,0.548387097,0,0,0,9,0,0,0,0,0,0,0,23,32,3,1,0,1,0,0,6,2,1,0,12,2,2,0,2,1779,2790,59863,25,64457,0.928727679,30000,4294.692308,2908.823529,210000,10790.03125,1779,214.6153846,3521.352941,25,2014.28125
Virginia,South,VA,0.459,0.118,955,0.108,0.133,207.3,42,0.866,0.34,0.141,7965428,10,56,46,112,0.410714286,0,0,0,30,0,0,0,0,0,0,0,82,112,10,5,1,2,4,2,33,2,2,3,21,5,10,3,9,4809,28048,185487,0,218344,0.849517275,6810,8074.107143,3491.626087,0,6079.15,480.9,500.8571429,4032.326087,0,1949.5
Washington,West,WA,0.441,0.132,913,0.119,0.122,102.6,30,0.897,0.31,0.111,6734229,28,146,129,303,0.425742574,0,0,0,88,2,3,0,0,0,1,1,208,303,26,8,3,2,4,8,85,4,5,5,92,14,29,6,12,11403,76949,799857,0,888209,0.900527916,13643.39286,7892.712329,3869.338062,0,6711.206634,407.25,527.0479452,6200.44186,0,2931.382838
West Virginia,South,WV,0.451,0.183,328,0.16,0.129,77.06,43,0.828,0.173,0.067,1838901,3,8,6,17,0.352941176,0,0,0,8,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,8,0,2,0,4,0,3,0,0,1965,1336,23448,0,26749,0.876593518,3000,9250,2250,0,5676.470588,655,167,3908,0,1573.470588
Wisconsin,Midwest,WI,0.43,0.132,737,0.111,0.108,105.2,37,0.898,0.257,0.084,5714200,4,33,22,59,0.372881356,0,0,0,11,0,0,0,0,0,0,0,48,59,7,0,1,0,1,0,17,1,2,2,20,1,1,2,4,781,13309,110998,0,125088,0.887359299,6100,6729.393939,4110.721364,0,5710.268983,195.25,403.3030303,5045.363636,0,2120.135593
Wyoming,West,WY,0.423,0.106,54,0.093,0.092,5.851,34,0.918,0.238,0.079,549990,0,7,1,8,0.125,0,0,0,3,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,2,0,1,0,3,0,1,1,0,0,6098,5112,0,11210,0.456021409,0,7328.571429,5000,0,7037.5,0,871.1428571,5112,0,1401.25
